id;Dataset;k;normalize;meka;weka;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference);Model Size
1;emotions;0;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.NaiveBayes --;0.503;0.503;0.764;0.245;0.497;0.236;0.755;0.646;0.318;0.211;0.699;0.208;0.612;0.636;0.623;0.632;0.627;0.629;0.624;0.588;0.768;1.46;0.773;2.233;['0.760', '0.656', '0.714', '0.865', '0.781', '0.807'];['0.689', '0.533', '0.672', '0.833', '0.689', '0.818'];['0.607', '0.411', '0.754', '0.722', '0.640', '0.659'];['0.586', '0.411', '0.557', '0.780', '0.571', '0.857'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.292', '0.292', '0.339', '0.281', '0.260', '0.427'];['0.010', '0.000', '0.120', '-0.021', '0.031', '-0.099'];345423
2;emotions;0;False;meka.classifiers.multilabel.CDT -H 0 -X I -I 783 -Ic 44;weka.classifiers.trees.RandomTree -- -M 3 -K 17 -depth 0 -N 4;0.398;0.398;0.716;0.141;0.602;0.284;0.859;0.542;0.432;0.309;0.659;0.518;0.802;0.563;0.534;0.554;0.517;0.548;0.531;0.482;0.684;1.32;1.617;2.937;['0.708', '0.641', '0.672', '0.828', '0.755', '0.693'];['0.525', '0.419', '0.673', '0.710', '0.667', '0.657'];['0.524', '0.356', '0.624', '0.707', '0.585', '0.529'];['0.379', '0.286', '0.716', '0.580', '0.554', '0.587'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.219', '0.234', '0.526', '0.214', '0.276', '0.365'];['0.083', '0.057', '-0.068', '0.047', '0.016', '-0.036'];48724
3;emotions;1;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.NaiveBayes --;0.5;0.5;0.74;0.248;0.5;0.26;0.752;0.64;0.361;0.241;0.668;0.248;0.736;0.558;0.696;0.546;0.69;0.619;0.606;0.533;0.75;1.119;0.964;2.083;['0.752', '0.683', '0.743', '0.832', '0.693', '0.738'];['0.758', '0.501', '0.742', '0.826', '0.676', '0.754'];['0.543', '0.408', '0.691', '0.615', '0.462', '0.554'];['0.772', '0.364', '0.739', '0.816', '0.643', '0.810'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.401', '0.243', '0.465', '0.322', '0.386', '0.455'];['-0.119', '0.030', '-0.030', '-0.079', '-0.109', '-0.144'];345423
4;emotions;1;False;meka.classifiers.multilabel.CDT -H 0 -X I -I 783 -Ic 44;weka.classifiers.trees.RandomTree -- -M 3 -K 17 -depth 0 -N 4;0.402;0.402;0.716;0.144;0.598;0.284;0.856;0.546;0.441;0.281;0.664;0.509;0.755;0.531;0.56;0.534;0.542;0.545;0.533;0.496;0.699;1.205;1.497;2.702;['0.718', '0.673', '0.624', '0.842', '0.683', '0.757'];['0.653', '0.482', '0.624', '0.693', '0.553', '0.720'];['0.500', '0.388', '0.553', '0.730', '0.429', '0.603'];['0.561', '0.345', '0.716', '0.551', '0.429', '0.651'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.317', '0.243', '0.564', '0.183', '0.277', '0.337'];['-0.035', '0.030', '-0.129', '0.059', '0.000', '-0.025'];48096
5;emotions;2;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.NaiveBayes --;0.586;0.586;0.812;0.322;0.414;0.188;0.678;0.722;0.236;0.161;0.738;0.183;0.541;0.686;0.721;0.673;0.709;0.703;0.668;0.634;0.831;0.787;0.485;1.272;['0.834', '0.744', '0.789', '0.859', '0.799', '0.844'];['0.770', '0.354', '0.792', '0.883', '0.753', '0.858'];['0.736', '0.600', '0.725', '0.648', '0.633', '0.695'];['0.672', '0.218', '0.841', '0.939', '0.679', '0.905'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.266', '0.101', '0.513', '0.357', '0.302', '0.412'];['0.025', '0.176', '-0.070', '-0.111', '-0.020', '-0.095'];345423
6;emotions;0;False;meka.classifiers.multilabel.RAkEL -N 1 -P 4 -k 2 -M 12;weka.classifiers.functions.Logistic -- -R 1e-08;0.479;0.479;0.702;0.125;0.521;0.298;0.875;0.656;0.354;0.27;0.688;0.334;0.981;0.527;0.73;0.53;0.726;0.612;0.61;0.574;0.751;8.716;0.06;8.776;['0.698', '0.630', '0.755', '0.833', '0.604', '0.693'];['0.684', '0.634', '0.756', '0.829', '0.622', '0.709'];['0.500', '0.414', '0.711', '0.641', '0.396', '0.521'];['0.655', '0.643', '0.784', '0.820', '0.679', '0.778'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.396', '0.453', '0.505', '0.333', '0.500', '0.490'];['-0.094', '-0.161', '-0.047', '-0.073', '-0.208', '-0.161'];236445
7;emotions;2;False;meka.classifiers.multilabel.CDT -H 0 -X I -I 783 -Ic 44;weka.classifiers.trees.RandomTree -- -M 3 -K 17 -depth 0 -N 4;0.462;0.462;0.757;0.176;0.538;0.243;0.824;0.618;0.357;0.222;0.731;0.446;0.637;0.605;0.618;0.6;0.603;0.611;0.6;0.592;0.763;0.63;1.696;2.326;['0.784', '0.688', '0.698', '0.854', '0.734', '0.784'];['0.689', '0.547', '0.700', '0.786', '0.611', '0.749'];['0.647', '0.434', '0.630', '0.708', '0.529', '0.652'];['0.569', '0.418', '0.773', '0.694', '0.482', '0.683'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.256', '0.266', '0.543', '0.241', '0.256', '0.332'];['0.035', '0.010', '-0.101', '0.005', '0.025', '-0.015'];50029
8;emotions;0;False;meka.classifiers.multilabel.PSt -P 1 -N 4;weka.classifiers.rules.JRip -- -N 1.0 -E -P -O 2;0.447;0.447;0.728;0.214;0.553;0.272;0.786;0.568;0.453;0.321;0.58;0.487;1.428;0.584;0.542;0.582;0.537;0.562;0.557;0.473;0.674;1.705;0.03;1.735;['0.719', '0.625', '0.667', '0.839', '0.802', '0.719'];['0.584', '0.450', '0.659', '0.762', '0.709', '0.671'];['0.542', '0.346', '0.643', '0.702', '0.688', '0.569'];['0.448', '0.321', '0.614', '0.660', '0.589', '0.587'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.250', '0.271', '0.438', '0.245', '0.250', '0.339'];['0.052', '0.021', '0.021', '0.016', '0.042', '-0.010'];64681
9;emotions;1;False;meka.classifiers.multilabel.RAkEL -N 1 -P 4 -k 2 -M 12;weka.classifiers.functions.Logistic -- -R 1e-08;0.459;0.459;0.737;0.173;0.541;0.263;0.827;0.608;0.46;0.275;0.645;0.316;0.937;0.559;0.628;0.556;0.627;0.592;0.584;0.541;0.746;7.225;0.076;7.301;['0.723', '0.658', '0.757', '0.797', '0.757', '0.728'];['0.601', '0.604', '0.736', '0.756', '0.770', '0.682'];['0.509', '0.403', '0.753', '0.567', '0.542', '0.559'];['0.474', '0.527', '0.659', '0.694', '0.804', '0.603'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.262', '0.356', '0.381', '0.297', '0.411', '0.337'];['0.020', '-0.084', '0.054', '-0.054', '-0.134', '-0.025'];236445
10;emotions;1;False;meka.classifiers.multilabel.PSt -P 1 -N 4;weka.classifiers.rules.JRip -- -N 1.0 -E -P -O 2;0.376;0.376;0.686;0.173;0.624;0.314;0.827;0.497;0.53;0.356;0.518;0.56;1.657;0.484;0.484;0.487;0.473;0.484;0.477;0.401;0.622;1.79;0.053;1.843;['0.693', '0.559', '0.649', '0.827', '0.733', '0.658'];['0.589', '0.420', '0.647', '0.727', '0.540', '0.537'];['0.458', '0.250', '0.589', '0.652', '0.524', '0.448'];['0.474', '0.309', '0.636', '0.612', '0.393', '0.413'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.292', '0.337', '0.470', '0.228', '0.208', '0.287'];['-0.010', '-0.064', '-0.035', '0.015', '0.069', '0.025'];72641
11;emotions;2;False;meka.classifiers.multilabel.PSt -P 1 -N 4;weka.classifiers.rules.JRip -- -N 1.0 -E -P -O 2;0.49;0.49;0.745;0.261;0.51;0.255;0.739;0.628;0.417;0.278;0.606;0.458;1.29;0.585;0.599;0.574;0.582;0.592;0.576;0.47;0.687;2.354;0.048;2.402;['0.709', '0.714', '0.698', '0.829', '0.729', '0.789'];['0.624', '0.555', '0.701', '0.752', '0.583', '0.759'];['0.500', '0.479', '0.632', '0.653', '0.521', '0.657'];['0.517', '0.418', '0.761', '0.653', '0.446', '0.698'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.302', '0.241', '0.533', '0.246', '0.241', '0.337'];['-0.010', '0.035', '-0.090', '0.000', '0.040', '-0.020'];69749
12;emotions;2;False;meka.classifiers.multilabel.RAkEL -N 1 -P 4 -k 2 -M 12;weka.classifiers.functions.Logistic -- -R 1e-08;0.491;0.491;0.755;0.211;0.509;0.245;0.789;0.634;0.422;0.247;0.685;0.281;0.829;0.597;0.64;0.601;0.642;0.618;0.61;0.582;0.77;6.559;0.088;6.647;['0.779', '0.653', '0.744', '0.794', '0.774', '0.789'];['0.615', '0.582', '0.730', '0.823', '0.739', '0.738'];['0.675', '0.397', '0.728', '0.550', '0.585', '0.672'];['0.466', '0.491', '0.670', '0.898', '0.679', '0.651'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.201', '0.342', '0.407', '0.402', '0.327', '0.307'];['0.090', '-0.065', '0.035', '-0.156', '-0.045', '0.010'];237661
13;emotions;0;False;meka.classifiers.multilabel.BCC -X Ibf;"weka.classifiers.functions.SMO -- -C 0.8999999999999999 -N 1 -M -K ""weka.classifiers.functions.supportVector.NormalizedPolyKernel -E 3.5000000000000013""";0.132;0.132;0.706;0.047;0.868;0.294;0.953;0.162;0.578;0.442;0.415;0.527;1.547;0.776;0.121;0.722;0.13;0.21;0.208;0.388;0.557;1.522;0.104;1.626;['0.760', '0.703', '0.552', '0.797', '0.714', '0.708'];['0.449', '0.069', '0.066', '0.387', '0.069', '0.250'];['0.773', '0.400', '0.750', '0.923', '0.667', '0.818'];['0.293', '0.036', '0.034', '0.240', '0.036', '0.143'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.115', '0.026', '0.021', '0.068', '0.016', '0.057'];['0.188', '0.266', '0.438', '0.193', '0.276', '0.271'];1780089
