id;Dataset;k;normalize;meka;weka;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference);Model Size
1;flags;0;False;meka.classifiers.multilabel.CDT -H -1 -X C -I 440 -Ic 32 -L 4;weka.classifiers.lazy.KStar -- -B 51 -E -M m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;flags;0;False;meka.classifiers.multilabel.RT;"weka.classifiers.functions.SMO -- -C 1.2999999999999998 -N 0 -K ""weka.classifiers.functions.supportVector.PolyKernel -E 0.9000000000000001""";0.614;0.614;0.723;0.095;0.386;0.277;0.905;0.726;0.159;0.197;0.825;0.865;0.949;0.689;0.808;0.633;0.68;0.744;0.632;0.605;0.635;1.732;0.069;1.801;['0.810', '0.635', '0.667', '0.587', '0.746', '0.714', '0.905'];['0.000', '0.604', '0.667', '0.506', '0.125', '0.481', '0.285'];['0.810', '0.585', '0.727', '0.543', '0.767', '0.500', '0.500'];['1.000', '0.800', '0.667', '0.833', '0.958', '0.333', '0.167'];['0.810', '0.476', '0.571', '0.476', '0.762', '0.286', '0.095'];['1.000', '0.651', '0.524', '0.730', '0.952', '0.190', '0.032'];['-0.190', '-0.175', '0.048', '-0.254', '-0.190', '0.095', '0.063'];306945
3;flags;0;False;meka.classifiers.multilabel.MCC -Iy 1 -Is 0 -P 'Macro Precision';weka.classifiers.functions.SimpleLogistic -- -W 0.5 -A;0.512;0.512;0.701;0.095;0.488;0.299;0.905;0.633;0.19;0.275;0.677;0.582;1.24;0.754;0.589;0.599;0.503;0.662;0.519;0.572;0.585;1.823;0.204;2.027;['0.810', '0.730', '0.444', '0.651', '0.635', '0.714', '0.921'];['0.000', '0.714', '0.153', '0.626', '0.318', '0.000', '0.659'];['0.810', '0.760', '0.600', '0.667', '0.755', '0.000', '0.600'];['1.000', '0.633', '0.083', '0.533', '0.771', '0.000', '0.500'];['0.810', '0.476', '0.571', '0.476', '0.762', '0.286', '0.095'];['1.000', '0.397', '0.079', '0.381', '0.778', '0.000', '0.079'];['-0.190', '0.079', '0.492', '0.095', '-0.016', '0.286', '0.016'];74676
4;flags;0;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.DecisionTable -- -E mae -S BestFirst -X 3;0.545;0.545;0.685;0.111;0.455;0.315;0.889;0.681;0.19;0.213;0.804;0.899;0.963;0.687;0.671;0.538;0.511;0.679;0.503;0.544;0.543;2.13;0.021;2.151;['0.810', '0.508', '0.460', '0.635', '0.762', '0.714', '0.905'];['0.000', '0.357', '0.290', '0.544', '0.000', '0.423', '0.000'];['0.810', '0.467', '0.522', '0.706', '0.762', '0.500', '0.000'];['1.000', '0.233', '0.667', '0.400', '1.000', '0.278', '0.000'];['0.810', '0.476', '0.571', '0.476', '0.762', '0.286', '0.095'];['1.000', '0.238', '0.730', '0.270', '1.000', '0.159', '0.000'];['-0.190', '0.238', '-0.159', '0.206', '-0.238', '0.127', '0.095'];12967
5;flags;1;False;meka.classifiers.multilabel.CDT -H -1 -X C -I 440 -Ic 32 -L 4;weka.classifiers.lazy.KStar -- -B 51 -E -M m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;flags;0;False;meka.classifiers.multilabel.PCC;weka.classifiers.trees.RandomForest -- -I 31 -K 14 -depth 4;0.631;0.631;0.762;0.222;0.369;0.238;0.778;0.724;0.19;0.174;0.844;0.443;0.476;0.771;0.74;0.701;0.657;0.755;0.675;0.772;0.794;2.517;0.762;3.279;['0.810', '0.746', '0.714', '0.683', '0.714', '0.794', '0.873'];['0.570', '0.745', '0.718', '0.646', '0.326', '0.684', '0.491'];['0.868', '0.733', '0.800', '0.727', '0.778', '0.667', '0.333'];['0.902', '0.733', '0.667', '0.533', '0.875', '0.556', '0.333'];['0.810', '0.476', '0.571', '0.476', '0.762', '0.286', '0.095'];['0.841', '0.476', '0.476', '0.349', '0.857', '0.238', '0.095'];['-0.032', '0.000', '0.095', '0.127', '-0.095', '0.048', '0.000'];729565
7;flags;0;False;meka.classifiers.multilabel.FW;weka.classifiers.functions.SimpleLogistic -- -W 0.9 -S;0.324;0.324;0.578;0.0;0.676;0.422;1.0;0.49;0.19;0.292;0.656;0.755;1.607;0.617;0.397;0.37;0.389;0.483;0.295;0.535;0.554;3.972;0.01;3.982;['0.810', '0.524', '0.460', '0.476', '0.238', '0.714', '0.825'];['0.000', '0.000', '0.105', '0.000', '0.000', '0.000', '0.744'];['0.810', '0.000', '1.000', '0.476', '0.000', '0.000', '0.308'];['1.000', '0.000', '0.056', '1.000', '0.000', '0.000', '0.667'];['0.810', '0.476', '0.571', '0.476', '0.762', '0.286', '0.095'];['1.000', '0.000', '0.032', '1.000', '0.000', '0.000', '0.206'];['-0.190', '0.476', '0.540', '-0.524', '0.762', '0.286', '-0.111'];238217
8;flags;0;False;meka.classifiers.multilabel.FW;weka.classifiers.functions.Logistic -- -R 10.0;0.65;0.65;0.776;0.175;0.35;0.224;0.825;0.75;0.206;0.211;0.784;0.154;0.329;0.763;0.795;0.638;0.64;0.779;0.619;0.648;0.676;3.414;0.014;3.428;['0.778', '0.762', '0.746', '0.714', '0.794', '0.746', '0.889'];['0.000', '0.746', '0.745', '0.709', '0.332', '0.361', '0.000'];['0.803', '0.692', '0.794', '0.714', '0.797', '0.667', '0.000'];['0.961', '0.900', '0.750', '0.667', '0.979', '0.222', '0.000'];['0.810', '0.476', '0.571', '0.476', '0.762', '0.286', '0.095'];['0.968', '0.619', '0.540', '0.444', '0.937', '0.095', '0.016'];['-0.159', '-0.143', '0.032', '0.032', '-0.175', '0.190', '0.079'];227934
9;flags;0;False;meka.classifiers.multilabel.PS -P 2 -N 2;weka.classifiers.functions.MultilayerPerceptron -- -L 0.4 -M 0.1 -H 19 -B -R -D;0.534;0.534;0.687;0.127;0.466;0.313;0.873;0.697;0.19;0.288;0.687;0.609;1.296;0.714;0.616;0.306;0.429;0.662;0.355;0.497;0.5;4.29;0.007;4.297;['0.810', '0.524', '0.571', '0.524', '0.762', '0.714', '0.905'];['0.000', '0.000', '0.000', '0.000', '0.000', '0.000', '0.000'];['0.810', '0.000', '0.571', '0.000', '0.762', '0.000', '0.000'];['1.000', '0.000', '1.000', '0.000', '1.000', '0.000', '0.000'];['0.810', '0.476', '0.571', '0.476', '0.762', '0.286', '0.095'];['1.000', '0.000', '1.000', '0.000', '1.000', '0.000', '0.000'];['-0.190', '0.476', '-0.429', '0.476', '-0.238', '0.286', '0.095'];65894
10;flags;1;False;meka.classifiers.multilabel.MCC -Iy 1 -Is 0 -P 'Macro Precision';weka.classifiers.functions.SimpleLogistic -- -W 0.5 -A;0.597;0.597;0.73;0.169;0.403;0.27;0.831;0.657;0.215;0.328;0.675;0.526;1.128;0.696;0.764;0.653;0.66;0.728;0.635;0.57;0.606;0.929;0.206;1.135;['0.785', '0.646', '0.600', '0.723', '0.754', '0.692', '0.908'];['0.000', '0.538', '0.502', '0.701', '0.000', '0.308', '0.705'];['0.785', '0.750', '0.551', '0.720', '0.754', '0.300', '0.714'];['1.000', '0.387', '0.871', '0.621', '1.000', '0.188', '0.556'];['0.785', '0.477', '0.477', '0.446', '0.754', '0.246', '0.138'];['1.000', '0.246', '0.754', '0.385', '1.000', '0.154', '0.108'];['-0.215', '0.231', '-0.277', '0.062', '-0.246', '0.092', '0.031'];74676
